DATETIME	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2023.01.02 07:00:00	1.07016	1.07017	1.06909	1.06972	20
2023.01.02 07:15:00	1.06969	1.06979	1.0693	1.06938	15
2023.01.02 07:30:00	1.06929	1.06969	1.06929	1.06951	164
2023.01.02 07:45:00	1.06951	1.07001	1.06945	1.06967	141
2023.01.02 08:00:00	1.06971	1.06989	1.06936	1.06952	88
2023.01.02 08:15:00	1.06951	1.0696	1.06937	1.06941	166
2023.01.02 08:30:00	1.06939	1.06977	1.06938	1.06948	179
2023.01.02 08:45:00	1.0695	1.06955	1.06754	1.06935	121
2023.01.02 09:00:00	1.06916	1.0692	1.06812	1.06844	73
2023.01.02 09:15:00	1.06846	1.06868	1.06767	1.0681	86
2023.01.02 09:30:00	1.06794	1.06851	1.06793	1.06813	245
2023.01.02 09:45:00	1.06813	1.06833	1.06636	1.06791	479
2023.01.02 10:00:00	1.06791	1.06808	1.06713	1.06754	813
2023.01.02 10:15:00	1.0676	1.06773	1.06738	1.06764	333
2023.01.02 10:30:00	1.06761	1.0688	1.06748	1.06804	475
2023.01.02 10:45:00	1.06804	1.0698	1.06782	1.06788	543
2023.01.02 11:00:00	1.06789	1.07005	1.06788	1.06867	419
2023.01.02 11:15:00	1.06868	1.06869	1.06804	1.0684	1085
2023.01.02 11:30:00	1.06839	1.06848	1.06821	1.06826	226
2023.01.02 11:45:00	1.06827	1.06837	1.06769	1.06784	459
2023.01.02 12:00:00	1.06788	1.06854	1.06779	1.06846	202
2023.01.02 12:15:00	1.06846	1.06898	1.0682	1.06822	239
2023.01.02 12:30:00	1.06822	1.06872	1.06749	1.06771	174
2023.01.02 12:45:00	1.06778	1.06836	1.06763	1.06836	166
2023.01.02 13:00:00	1.06836	1.06854	1.06804	1.06848	193
2023.01.02 13:15:00	1.06848	1.0685	1.0681	1.06822	136
2023.01.02 13:30:00	1.06825	1.06858	1.06817	1.06847	106
2023.01.02 13:45:00	1.06847	1.06866	1.06814	1.06846	167
2023.01.02 14:00:00	1.06845	1.06871	1.06783	1.0686	137
2023.01.02 14:15:00	1.06865	1.06868	1.06784	1.0684	245
2023.01.02 14:30:00	1.06839	1.0687	1.06797	1.06833	273
2023.01.02 14:45:00	1.06833	1.06861	1.06803	1.0682	230
2023.01.02 15:00:00	1.06821	1.06853	1.06799	1.06824	258
2023.01.02 15:15:00	1.06824	1.06863	1.06794	1.06839	312
2023.01.02 15:30:00	1.06839	1.06851	1.0682	1.06839	197
2023.01.02 15:45:00	1.06839	1.06844	1.06777	1.06788	189
2023.01.02 16:00:00	1.06787	1.06817	1.06786	1.06812	339
2023.01.02 16:15:00	1.06812	1.06819	1.06797	1.06809	205
2023.01.02 16:30:00	1.06814	1.06817	1.06794	1.06802	154
